"","word_tokens","nrc","afinn","bing","period"
"1","easing",NA,NA,"positive","2019"
"2","china",NA,NA,NA,"2019"
"3","trade","trust",NA,NA,"2019"
"4","tensions",NA,NA,NA,"2019"
"5","october",NA,NA,NA,"2019"
"6","triggered",NA,NA,NA,"2019"
"7","risk","anticipation",-2,"negative","2019"
"8","risk","fear",-2,"negative","2019"
"9","risk","negative",-2,"negative","2019"
"10","phase",NA,NA,NA,"2019"
"11","global",NA,NA,NA,"2019"
"12","financial",NA,NA,NA,"2019"
"13","markets",NA,NA,NA,"2019"
"14","1",NA,NA,NA,"2019"
"15","september",NA,NA,NA,"2019"
"16","risky","anticipation",NA,"negative","2019"
"17","risky","fear",NA,"negative","2019"
"18","risky","negative",NA,"negative","2019"
"19","asset",NA,2,NA,"2019"
"20","prices",NA,NA,NA,"2019"
"21","globe",NA,NA,NA,"2019"
"22","stayed",NA,NA,NA,"2019"
"23","range",NA,NA,NA,"2019"
"24","bound","negative",NA,NA,"2019"
"25","supported","positive",2,"positive","2019"
"26","additional",NA,NA,NA,"2019"
"27","monetary","anticipation",NA,NA,"2019"
"28","monetary","positive",NA,NA,"2019"
"29","accommodation","positive",NA,NA,"2019"
"30","context",NA,NA,NA,"2019"
"31","subdued",NA,NA,"negative","2019"
"32","prospects",NA,1,NA,"2019"
"33","global",NA,NA,NA,"2019"
"34","activity",NA,NA,NA,"2019"
"35","sentiment",NA,NA,NA,"2019"
"36","shifted",NA,NA,NA,"2019"
"37","stocks","negative",NA,NA,"2019"
"38","posted",NA,NA,NA,"2019"
"39","gains",NA,2,"positive","2019"
"40","markets",NA,NA,NA,"2019"
"41","china",NA,NA,NA,"2019"
"42","credit","positive",NA,NA,"2019"
"43","credit","trust",NA,NA,"2019"
"44","spreads",NA,NA,NA,"2019"
"45","tightened",NA,NA,NA,"2019"
"46","term",NA,NA,NA,"2019"
"47","spreads",NA,NA,NA,"2019"
"48","advanced","positive",1,"positive","2019"
"49","economies",NA,NA,NA,"2019"
"50","aes",NA,NA,NA,"2019"
"51","initially",NA,NA,NA,"2019"
"52","widened",NA,NA,NA,"2019"
"53","line",NA,NA,NA,"2019"
"54","change","fear",NA,NA,"2019"
"55","market",NA,NA,NA,"2019"
"56","sentiment",NA,NA,NA,"2019"
"57","upward",NA,NA,NA,"2019"
"58","momentum","anticipation",NA,NA,"2019"
"59","momentum","positive",NA,NA,"2019"
"60","petered",NA,NA,NA,"2019"
"61","weeks.faced",NA,NA,NA,"2019"
"62","persistently",NA,NA,NA,"2019"
"63","low",NA,NA,NA,"2019"
"64","inflation","fear",NA,NA,"2019"
"65","inflation","negative",NA,NA,"2019"
"66","tepid",NA,NA,"negative","2019"
"67","outlook",NA,NA,NA,"2019"
"68","growth","positive",2,NA,"2019"
"69","central",NA,NA,NA,"2019"
"70","banks",NA,NA,NA,"2019"
"71","eased",NA,NA,"positive","2019"
"72","major","positive",NA,NA,"2019"
"73","economies",NA,NA,NA,"2019"
"74","policy","trust",NA,NA,"2019"
"75","rates",NA,NA,NA,"2019"
"76","lowered",NA,NA,NA,"2019"
"77","united","positive",1,NA,"2019"
"78","united","trust",1,NA,"2019"
"79","euro",NA,NA,NA,"2019"
"80","emerging",NA,NA,NA,"2019"
"81","market",NA,NA,NA,"2019"
"82","economies",NA,NA,NA,"2019"
"83","emes",NA,NA,NA,"2019"
"84","including","positive",NA,NA,"2019"
"85","brazil",NA,NA,NA,"2019"
"86","china",NA,NA,NA,"2019"
"87","indonesia",NA,NA,NA,"2019"
"88","mexico",NA,NA,NA,"2019"
"89","ecb",NA,NA,NA,"2019"
"90","restarted",NA,NA,NA,"2019"
"91","programme",NA,NA,NA,"2019"
"92","government","fear",NA,NA,"2019"
"93","government","negative",NA,NA,"2019"
"94","bond",NA,NA,NA,"2019"
"95","purchases.as",NA,NA,NA,"2019"
"96","sentiment",NA,NA,NA,"2019"
"97","shifted",NA,NA,NA,"2019"
"98","constructive",NA,NA,"positive","2019"
"99","developments",NA,NA,NA,"2019"
"100","china",NA,NA,NA,"2019"
"101","relationship",NA,NA,NA,"2019"
"102","prospects",NA,1,NA,"2019"
"103","orderly","positive",NA,"positive","2019"
"104","brexit",NA,NA,NA,"2019"
"105","equities",NA,NA,NA,"2019"
"106","rose",NA,NA,NA,"2019"
"107","globe",NA,NA,NA,"2019"
"108","notable","joy",NA,NA,"2019"
"109","notable","positive",NA,NA,"2019"
"110","notable","trust",NA,NA,"2019"
"111","exception",NA,NA,NA,"2019"
"112","chinese",NA,NA,NA,"2019"
"113","stocks","negative",NA,NA,"2019"
"114","lost","negative",-3,"negative","2019"
"115","lost","sadness",-3,"negative","2019"
"116","ground","trust",NA,NA,"2019"
"117","october",NA,NA,NA,"2019"
"118","november",NA,NA,NA,"2019"
"119","united","positive",1,NA,"2019"
"120","united","trust",1,NA,"2019"
"121","stock",NA,NA,NA,"2019"
"122","prices",NA,NA,NA,"2019"
"123","reached",NA,1,NA,"2019"
"124","historically",NA,NA,NA,"2019"
"125","levels",NA,NA,NA,"2019"
"126","risk","anticipation",-2,"negative","2019"
"127","risk","fear",-2,"negative","2019"
"128","risk","negative",-2,"negative","2019"
"129","appetite",NA,NA,NA,"2019"
"130","spurred",NA,NA,NA,"2019"
"131","resilient","positive",NA,"positive","2019"
"132","consumer",NA,NA,NA,"2019"
"133","sector",NA,NA,NA,"2019"
"134","signs",NA,NA,NA,"2019"
"135","stabilisation",NA,NA,NA,"2019"
"136","manufacturing",NA,NA,NA,"2019"
"137","earnings",NA,NA,NA,"2019"
"138","reports",NA,NA,NA,"2019"
"139","line",NA,NA,NA,"2019"
"140","slightly",NA,NA,NA,"2019"
"141","ahead","positive",NA,NA,"2019"
"142","expectations",NA,NA,NA,"2019"
"143","sentiment",NA,NA,NA,"2019"
"144","helped",NA,NA,"positive","2019"
"145","patchy",NA,NA,NA,"2019"
"146","evidence",NA,NA,NA,"2019"
"147","october's",NA,NA,NA,"2019"
"148","activity",NA,NA,NA,"2019"
"149","gauges",NA,NA,NA,"2019"
"150","economies",NA,NA,NA,"2019"
"151","advanced","positive",1,"positive","2019"
"152","emerging",NA,NA,NA,"2019"
"153","bottoming",NA,NA,NA,"2019"
"154","out.corporate",NA,NA,NA,"2019"
"155","spreads",NA,NA,NA,"2019"
"156","fell","negative",NA,"negative","2019"
"157","fell","sadness",NA,"negative","2019"
"158","globally",NA,NA,NA,"2019"
"159","term",NA,NA,NA,"2019"
"160","sovereign","trust",NA,NA,"2019"
"161","yields",NA,NA,NA,"2019"
"162","rose",NA,NA,NA,"2019"
"163","aes",NA,NA,NA,"2019"
"164","spreads",NA,NA,NA,"2019"
"165","euro",NA,NA,NA,"2019"
"166","corporate",NA,NA,NA,"2019"
"167","bonds","negative",NA,NA,"2019"
"168","declined",NA,NA,NA,"2019"
"169","investment",NA,NA,NA,"2019"
"170","grade",NA,NA,NA,"2019"
"171","issuers",NA,NA,NA,"2019"
"172","yield",NA,NA,NA,"2019"
"173","segment",NA,NA,NA,"2019"
"174","eme",NA,NA,NA,"2019"
"175","corporates",NA,NA,NA,"2019"
"176","spreads",NA,NA,NA,"2019"
"177","widened",NA,NA,NA,"2019"
"178","late","negative",NA,NA,"2019"
"179","late","sadness",NA,NA,"2019"
"180","september",NA,NA,NA,"2019"
"181","compressed",NA,NA,NA,"2019"
"182","mid",NA,NA,NA,"2019"
"183","october",NA,NA,NA,"2019"
"184","news",NA,NA,NA,"2019"
"185","positive",NA,2,"positive","2019"
"186","government","fear",NA,NA,"2019"
"187","government","negative",NA,NA,"2019"
"188","bond",NA,NA,NA,"2019"
"189","yields",NA,NA,NA,"2019"
"190","rose",NA,NA,NA,"2019"
"191","steepening",NA,NA,NA,"2019"
"192","yield",NA,NA,NA,"2019"
"193","curves",NA,NA,NA,"2019"
"194","bond",NA,NA,NA,"2019"
"195","yields",NA,NA,NA,"2019"
"196","traced",NA,NA,NA,"2019"
"197","gains",NA,2,"positive","2019"
"198","november.as",NA,NA,NA,"2019"
"199","demand","anger",-1,NA,"2019"
"200","demand","negative",-1,NA,"2019"
"201","safe","joy",1,"positive","2019"
"202","safe","positive",1,"positive","2019"
"203","safe","trust",1,"positive","2019"
"204","assets","positive",2,NA,"2019"
"205","retreated",NA,NA,"negative","2019"
"206","dollar",NA,NA,NA,"2019"
"207","weakened","negative",NA,NA,"2019"
"208","broadly",NA,NA,NA,"2019"
"209","eme",NA,NA,NA,"2019"
"210","currencies",NA,NA,NA,"2019"
"211","eme",NA,NA,NA,"2019"
"212","sovereign","trust",NA,NA,"2019"
"213","yields",NA,NA,NA,"2019"
"214","affected",NA,-1,NA,"2019"
"215","sentiment",NA,NA,NA,"2019"
"216","swings",NA,NA,NA,"2019"
"217","continued",NA,NA,NA,"2019"
"218","downward",NA,NA,NA,"2019"
"219","trend","positive",NA,NA,"2019"
"220","prevailed",NA,NA,NA,"2019"
"221","year.loose",NA,NA,NA,"2019"
"222","financial",NA,NA,NA,"2019"
"223","conditions",NA,NA,NA,"2019"
"224","intensified",NA,NA,NA,"2019"
"225","focus","positive",NA,NA,"2019"
"226","sustainability",NA,NA,"positive","2019"
"227","asset",NA,2,NA,"2019"
"228","valuations",NA,NA,NA,"2019"
"229","corporate",NA,NA,NA,"2019"
"230","bonds","negative",NA,NA,"2019"
"231","appeared",NA,NA,NA,"2019"
"232","expensive",NA,NA,"negative","2019"
"233","light",NA,NA,NA,"2019"
"234","comparatively",NA,NA,NA,"2019"
"235","subdued",NA,NA,"negative","2019"
"236","economic",NA,NA,NA,"2019"
"237","outlook",NA,NA,NA,"2019"
"238","equity","positive",NA,NA,"2019"
"239","valuations",NA,NA,NA,"2019"
"240","united","positive",1,NA,"2019"
"241","united","trust",1,NA,"2019"
